Date,market,log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio,gmm_regime,gmm_regime_label,gmm_regime_prob
2022-03-16,sp500,0.0221369216483934,0.0163765370615116,0.0134486251578765,0.024532608051387,1.1418786095131668,0.0037047094847039,-0.0012823317230561,1.2177108715027498,1,Transition,0.8693
2022-03-17,sp500,0.0122722050687002,0.0166515155259034,0.0134840877560906,0.0174582461732576,0.8964642899852271,0.0070193604824934,-0.0007127624556352,1.2349011536492085,1,Transition,0.9704
2022-03-18,sp500,0.0115948144118881,0.0161200196830386,0.0133681433892938,0.0167663150800779,1.4402816528208997,0.0119475791515186,0.0009370034718059,1.2058532896908276,1,Transition,0.6692
2022-03-21,sp500,-0.0004347548543014,0.0160111216471295,0.0132927156796354,0.0128778020722821,0.8460609844882797,0.013350363199765,0.0012748638122841,1.2045034312784368,1,Transition,0.8688
2022-03-22,sp500,0.0112406995540742,0.0159201239631918,0.0133538216852896,0.0117252829803143,0.8287273221943172,0.0113619771657509,0.0023466355617387,1.1921773660291697,1,Transition,0.9521
2022-03-23,sp500,-0.0123486302524952,0.0155453211105827,0.01329779600885,0.0101564914018482,0.794851517833711,0.0044648667855731,0.0026583908365533,1.1690148578183135,1,Transition,0.9598
2022-03-24,sp500,0.014242012281618,0.015520961745954,0.0134465889551782,0.0122584497749232,0.7385202976933654,0.0048588282281567,0.002628186187998,1.1542675839716945,1,Transition,0.9502
2022-03-25,sp500,0.0050533807042376,0.0148470175043324,0.0134656832089132,0.0098964047046775,0.7756033260526649,0.0035505414866266,0.0017745511956466,1.1025818203197355,1,Transition,0.6019
2022-03-28,sp500,0.0071195510200425,0.0148579758276956,0.0135021842858389,0.0126674040743106,0.7894170309018362,0.0050614026614954,0.002252808319805,1.100412756421836,1,Transition,0.7488
2022-03-29,sp500,0.012182044101391,0.0143928293483901,0.0136017914381145,0.0102857862149211,0.93756889944497,0.0052496715709588,0.0036416339142053,1.0581568916031865,1,Transition,0.9059
2022-03-30,sp500,-0.0063135889990887,0.0141130739408514,0.0135922689225087,0.0100924927682669,0.8156230373424969,0.0064566798216401,0.0024024021252182,1.0383162679690832,1,Transition,0.766
2022-03-31,sp500,-0.0157763352268817,0.0146008308900666,0.0137311055443345,0.0160382096681712,0.8987920214509066,0.0004530103199401,0.0018770114010864,1.063339790297578,1,Transition,0.9697
2022-04-01,sp500,0.003404420961463,0.0144176268988316,0.0135212270176715,0.0090478748423321,0.8602193107352653,0.0001232183713852,0.0024455166763096,1.0662957496378516,1,Transition,0.8178
2022-04-04,sp500,0.0080583825321336,0.0122655502338259,0.0135667265896674,0.0096647429737331,0.8770649920328626,0.0003109846738034,0.0043465651436372,0.904090618526032,1,Transition,0.9803
2022-04-05,sp500,-0.0126311590740053,0.0125876255624804,0.0136507110325761,0.0175200373436219,0.9482499196807654,-0.0046516559612758,0.0040780093887218,0.9221223372497754,1,Transition,0.9957
2022-04-06,sp500,-0.0097644339124797,0.0118918262530099,0.0137021111355827,0.0120281408831155,0.9916504244486056,-0.005341824943954,0.0023211077869908,0.8678827762627237,1,Transition,0.9915
2022-04-07,sp500,0.0042443655520372,0.0117944898875777,0.0136573579799809,0.0157460101145454,0.9602932888973116,-0.0013376847881702,0.002748378560605,0.8635996731480756,1,Transition,0.9863
2022-04-08,sp500,-0.0026545466755523,0.0112797229185109,0.01365127979099,0.0102065960204295,0.820235996632838,-0.0025494783155733,0.0032679651734893,0.8262758577372091,1,Transition,0.9966
2022-04-11,sp500,-0.0170213345846961,0.0119420494335338,0.013700351319876,0.0126843823314312,0.8684298162620241,-0.0075654217389392,0.0027893321990311,0.8716600877386743,1,Transition,0.9976
2022-04-12,sp500,-0.0034233005304522,0.0111912775485048,0.0137022434113154,0.0203891237575752,0.8559900169648101,-0.0057238500302286,0.0015590356863013,0.8167478282616836,1,Transition,0.9991
2022-04-13,sp500,0.0111126032689019,0.0103654122554558,0.0135919179393658,0.0137677925587287,0.8099249579344253,-0.0015484425939523,0.0010078197673267,0.762615864935062,1,Transition,0.9997
2022-04-14,sp500,-0.0122184803835081,0.0104111595214784,0.0136242953988675,0.0158653422889934,0.8721850862841826,-0.0048410117810613,-0.0002167145052836,0.7641613174611506,1,Transition,0.9998
2022-04-18,sp500,-0.0002048892724065,0.010034096826046,0.0135533801084968,0.0091104459650078,0.8761918973832257,-0.0043510803004322,-0.0008066996894984,0.7403390700859519,1,Transition,0.9999
2022-04-19,sp500,0.0159300447493866,0.0107104691069398,0.0134860697012368,0.0180179559114376,0.9283956241933556,0.0022391955663843,1.1540290685989503e-05,0.7941875835001474,1,Transition,0.9994
2022-04-20,sp500,-0.0006186664061825,0.0103792296032758,0.0134824044295794,0.0088643827615906,0.9747151557421228,0.0028001223912382,-0.0005814280073268,0.7698352068793111,1,Transition,0.9997
2022-04-21,sp500,-0.014862855551311,0.0105431838633845,0.0135274484399686,0.0292397959773359,1.0523895676827713,-0.0023949693728043,-0.0007071392722676,0.7793919089895279,1,Transition,0.9932
2022-04-22,sp500,-0.0281320763773669,0.0115869428943898,0.0140105396431853,0.0276722974691393,1.0496050843778753,-0.005577688571576,-0.0028258437052168,0.8270161742146469,1,Transition,0.9801
2022-04-25,sp500,0.0056817651441118,0.0116102612392014,0.0140152489339985,0.0228578793501676,1.1699555040739371,-0.0044003576882724,-0.0027944244832231,0.8284020707642973,1,Transition,0.9975
2022-04-26,sp500,-0.0285500089285977,0.0126960675621369,0.0141224276833203,0.0246934500942016,1.0427432995254822,-0.0132963684238693,-0.0045779024806552,0.8990003593455808,1,Transition,0.9722
