Date,market,log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio,gmm_regime,gmm_regime_label,gmm_regime_prob
2023-06-15,sp500,0.0121045804935899,0.0072861463990804,0.0078387654303631,0.0173074716574802,1.0515931988568834,0.006051523440886,0.0031120346738027,0.9295017772642924,0,Calm/Bull,0.5189
2023-06-16,sp500,-0.003678376467751,0.0072789516206007,0.0074982953933248,0.0093047822793892,1.6642291458317058,0.0050863679427257,0.0024580796972288,0.970747515105992,0,Calm/Bull,0.9844
2023-06-20,sp500,-0.004746353835236,0.0074083529303981,0.0075454463643302,0.0075101706950028,0.985402124895496,0.0022815021793276,0.0022931076995008,0.9818309709840082,0,Calm/Bull,0.9998
2023-06-21,sp500,-0.0052590863669252,0.007587346698399,0.0075817255194292,0.005973873196455,0.9014357166924652,-0.0001520292392391,0.0020224022471644,1.0007414115632969,0,Calm/Bull,0.9999
2023-06-22,sp500,0.0037039303873345,0.0069140694471584,0.0075866854860511,0.0069445318873368,0.8599706444085069,0.0004249388422024,0.0027718722049454,0.9113425698047728,0,Calm/Bull,0.9991
2023-06-23,sp500,-0.0076882880565021,0.0069408416414946,0.0076708177016096,0.0057976189674107,1.3804099235676008,-0.0035336348678159,0.0027547334360355,0.904837256142611,0,Calm/Bull,0.9942
2023-06-26,sp500,-0.0044969343631321,0.0069721456789431,0.0075268664820913,0.0078497100476762,0.7852914704988248,-0.0036973464468922,0.0020939139139283,0.9263012298055188,0,Calm/Bull,0.9984
2023-06-27,sp500,0.0113907335241807,0.0068508121139407,0.0076198067773028,0.0112871841858979,0.8230753143279366,-0.0004699289750088,0.0020152165435553,0.8990795061033882,0,Calm/Bull,0.9958
2023-06-28,sp500,-0.0003541393883898,0.00685700343194,0.0074273697217266,0.0068839039296798,0.8661500491639808,0.0005110604206982,0.0019966794176025,0.9232074999419908,0,Calm/Bull,0.9997
2023-06-29,sp500,0.00446356811449,0.0066007519193145,0.0074326851638064,0.006009389921644,0.8795321514985364,0.0006629879661293,0.0025262257326377,0.8880709694871866,0,Calm/Bull,0.9992
2023-06-30,sp500,0.0121943502618858,0.0067590789607504,0.0075133937481977,0.0080981938646828,0.938722316490428,0.0046395156298069,0.0026456324914393,0.8996039855320734,0,Calm/Bull,0.9979
2023-07-03,sp500,0.0011699930926736,0.0061667072802117,0.0074963609159671,0.0031802572435783,0.501230976048695,0.005772901120968,0.0019826415265676,0.8226267850947142,0,Calm/Bull,0.9994
2023-07-05,sp500,-0.0019702580976127,0.0061655095206412,0.007503600204347,0.0039241966174255,0.8616007607060256,0.0031007027966093,0.0019844081962199,0.8216735104129667,0,Calm/Bull,0.9987
2023-07-06,sp500,-0.0079540611758947,0.0065517594472631,0.0075987703333902,0.0085162750461099,0.9144905102255604,0.0015807184391083,0.0014691486257326,0.8622131160450652,0,Calm/Bull,0.9981
2023-07-07,sp500,-0.0028692127957334,0.0065147367670267,0.0076152501133096,0.0097728395335801,0.9119651720579164,0.0001141622570636,0.001516652682267,0.855485594050348,0,Calm/Bull,0.9983
2023-07-10,sp500,0.0024021386106263,0.0064269943084017,0.007585152175973,0.0051434454207788,0.8658234884915987,-0.0018442800731882,0.0013282810324221,0.8473125072902501,0,Calm/Bull,0.9985
2023-07-11,sp500,0.0067195839982548,0.0065385489694841,0.0074577758442695,0.0079247842294934,0.9168346837947164,-0.0007343618920719,0.0016068901811824,0.8767424907934523,0,Calm/Bull,0.9988
2023-07-12,sp500,0.0073839052353896,0.0064344828271679,0.0074886396936177,0.00561470573592,0.99205127108554,0.0011364707745285,0.0015121866938641,0.8592325295943716,0,Calm/Bull,0.9989
2023-07-13,sp500,0.0084344829896271,0.006510435432048,0.0075410807018243,0.0062128094847411,0.9770026393750998,0.0044141796076329,0.00158848230705,0.8633292348234729,0,Calm/Bull,0.9986
2023-07-14,sp500,-0.0010249321969074,0.0065349166253682,0.0075472073790105,0.0062590629775335,0.9353216531277162,0.004783035727398,0.0014962811981983,0.8658721427931577,0,Calm/Bull,0.9987
2023-07-17,sp500,0.0038479695744204,0.0060740319297745,0.007551613420174,0.0061798569182074,0.9148052925833922,0.0050722019201569,0.0010834506522399,0.8043356554174039,0,Calm/Bull,0.9971
2023-07-18,sp500,0.0070920669414283,0.0061069923832956,0.0075233120015757,0.0104742416304956,1.0965696088754897,0.0051466985087916,0.0016219728226988,0.8117425386607013,0,Calm/Bull,0.9879
2023-07-19,sp500,0.0023551348272336,0.0059208469720603,0.007523258381069,0.0045885850044836,1.1025642433803,0.0041409444271604,0.0019770472558223,0.7870056659171911,0,Calm/Bull,0.9972
2023-07-20,sp500,-0.0067798273962576,0.0060274710576555,0.0076012182944909,0.0081987300232335,1.007049105479852,0.0010980823499834,0.0019010102043557,0.7929611838702293,0,Calm/Bull,0.996
2023-07-21,sp500,0.000324042014613,0.0060216402070553,0.0072496273984693,0.0042346829380445,0.9550053258106814,0.0013678771922875,0.0017320157857196,0.8306137510359183,0,Calm/Bull,0.999
2023-07-24,sp500,0.0040260384968748,0.005612964355522,0.007216816245122,0.0048566113948654,1.0627583432903054,0.0014034909767784,0.0023177321133885,0.7777618502225127,0,Calm/Bull,0.9974
2023-07-25,sp500,0.0028107195758387,0.0053789809023945,0.0068454420396411,0.0061741527136916,1.0449699683546343,0.0005472215036605,0.002683114810337,0.7857755381238442,0,Calm/Bull,0.9963
2023-07-26,sp500,-0.0001554509786759,0.0050016017890185,0.0067945474931963,0.0076400365070892,1.087497387061793,4.510434247860788e-05,0.0021058055851942,0.7361199246935665,0,Calm/Bull,0.9945
2023-07-27,sp500,-0.006445393055197,0.0053337105136009,0.0068679437647968,0.0173027702855686,1.2273018260427744,0.0001119912106907,0.0018012429018538,0.7766095204419233,0,Calm/Bull,0.7997
2023-07-28,sp500,0.0098293758104338,0.0056028387394415,0.0067337084554005,0.0057069136067947,1.0689707255543377,0.0020130579698548,0.002069533286651,0.8320584083125808,0,Calm/Bull,0.9981
2023-07-31,sp500,0.0014676354365687,0.0050707700990776,0.0066341888864579,0.0045936504795072,1.1999488431082077,0.0015013773577936,0.0015331975453852,0.7643391205560011,0,Calm/Bull,0.9971
2023-08-01,sp500,-0.0026686453076827,0.0051571528620337,0.0065528984337508,0.0037341796663083,1.0489950278501892,0.0004055043810893,0.0013412656253673,0.7870033259590469,0,Calm/Bull,0.9979
2023-08-02,sp500,-0.0139362006383361,0.006158451122053,0.006514257547992,0.0100102526953488,1.0970315972205276,-0.0023506455508426,0.0007429684983312,0.9453803563464162,0,Calm/Bull,0.9995
2023-08-03,sp500,-0.0025512254502915,0.005868550171328,0.0065335989352822,0.0075413202635915,1.0594424771801312,-0.0015718120298615,0.0010131102846113,0.8982109599101952,0,Calm/Bull,0.9996
2023-08-04,sp500,-0.0053141693739379,0.005978121892624,0.006545518743094,0.0146917377103163,1.0510771847191458,-0.0046005210667359,0.0008908624557011,0.9133152202690336,0,Calm/Bull,0.9964
