Date,market,log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio,gmm_regime,gmm_regime_label,gmm_regime_prob
2020-02-20,sp500,-0.0038228174279975,0.0084007868693751,0.006104846586887,0.0142681889735285,1.061598901311514,-0.0003684446782727,0.0007689492015803,1.3760848450179983,0,Calm/Bull,0.9976
2020-02-21,sp500,-0.0105738092328197,0.0087736158904219,0.0062958979836276,0.0096801913246198,1.0305050892785583,-0.0021568512528389,0.0001832424302714,1.393544799048132,0,Calm/Bull,0.9986
2020-02-24,sp500,-0.0340880794204407,0.0115164488602767,0.0077171584129654,0.0139992863221714,1.2599790503899675,-0.0093428343566241,-0.0010669970694409,1.492317281051046,2,Stress/Bear,0.9812
2020-02-25,sp500,-0.0307479043753532,0.0129189853329781,0.0087023413071468,0.0409882879679529,1.4210469454368968,-0.0149075724344652,-0.0018116046703663,1.484541329396987,2,Stress/Bear,1.0
2020-02-26,sp500,-0.00378569732353,0.012619741463427,0.0086973572282436,0.0235914061030497,1.358888172718895,-0.0166036615560282,-0.0025010587115605,1.450985757195986,2,Stress/Bear,0.999
2020-02-27,sp500,-0.0451681363522611,0.0158040324226181,0.0104496284419259,0.0401778509812432,1.6783361150352425,-0.0248727253408809,-0.0047161030219943,1.5124013748861382,2,Stress/Bear,1.0
2020-02-28,sp500,-0.008272463109653,0.0157115044550294,0.0104447519583978,0.0351632186643758,1.9264757471622116,-0.0244124561162476,-0.0052861990239875,1.5042486904054215,2,Stress/Bear,1.0
2020-03-02,sp500,0.0450108687694132,0.0190070535663261,0.0119775569683678,0.0471712527716589,1.4053019492188326,-0.0085926664782768,-0.0021424334069487,1.586889013888472,2,Stress/Bear,1.0
2020-03-03,sp500,-0.0285104849229145,0.0197453409195354,0.012498167223316,0.0533034829688393,1.364923271482524,-0.0081451825877891,-0.0039293789411561,1.5798589158496328,2,Stress/Bear,1.0
2020-03-04,sp500,0.0413363493606331,0.0218466681909733,0.0136192465717228,0.0308582687802453,1.0735404018766674,0.0008792267490435,-0.0026060272689997,1.604102552657558,2,Stress/Bear,0.9911
2020-03-05,sp500,-0.0345107824399811,0.0227011334125798,0.0142769533129034,0.0275170679807893,1.162740874813349,0.0030106975314995,-0.0048909553239474,1.590054468558263,2,Stress/Bear,0.9829
