Date,market,Close,Regime_Name,Stress_Score,Signal,Signal_Label,Signal_Reason
2014-03-27,bist100,670.48046875,Transition,0.3638055132830082,1,BUY,Transition BUY=0.36
2014-03-28,bist100,691.1693115234375,Transition,0.0491385481795211,1,BUY,Transition BUY=0.05
2014-03-31,bist100,697.3592529296875,Transition,0.0592387557361065,1,BUY,Transition BUY=0.06
2014-04-01,bist100,708.5701904296875,Transition,0.0215495014801197,1,BUY,Transition BUY=0.02
2014-04-02,bist100,706.4762573242188,Transition,0.0158483183972696,1,BUY,Transition BUY=0.02
2014-04-03,bist100,715.4442138671875,Transition,0.0065997813750862,1,BUY,Transition BUY=0.01
2014-04-04,bist100,725.8251342773438,Transition,0.0040758189598111,1,BUY,Transition BUY=0.00
2014-04-07,bist100,724.8871459960938,Calm/Bull,0.0025090490510198,1,BUY,Calm/Bull low stress=0.00
2014-04-08,bist100,739.4611206054688,Calm/Bull,0.0067254244089109,1,BUY,Calm/Bull low stress=0.01
2014-04-09,bist100,724.2821655273438,Calm/Bull,0.0664653315686583,1,BUY,Calm/Bull low stress=0.07
2014-04-10,bist100,731.4981079101562,Calm/Bull,0.0070778784083481,1,BUY,Calm/Bull low stress=0.01
2014-04-11,bist100,727.359130859375,Calm/Bull,0.0172529200924309,1,BUY,Calm/Bull low stress=0.02
2014-04-14,bist100,737.7451171875,Transition,0.0274754126053002,1,BUY,Transition BUY=0.03
2014-04-15,bist100,724.3761596679688,Calm/Bull,0.1960031143384732,1,BUY,Calm/Bull low stress=0.20
2014-04-16,bist100,723.9901733398438,Calm/Bull,0.004879662023294,1,BUY,Calm/Bull low stress=0.00
2014-04-17,bist100,735.6140747070312,Calm/Bull,0.0216736318885716,1,BUY,Calm/Bull low stress=0.02
2014-04-18,bist100,734.756103515625,Calm/Bull,0.1080456995260566,1,BUY,Calm/Bull low stress=0.11
2014-04-21,bist100,734.4630737304688,Calm/Bull,0.0381747622467663,1,BUY,Calm/Bull low stress=0.04
2014-04-22,bist100,731.6961059570312,Calm/Bull,0.0121721101976358,1,BUY,Calm/Bull low stress=0.01
2014-04-24,bist100,723.9091796875,Calm/Bull,0.0003135348698228,1,BUY,Calm/Bull low stress=0.00
2014-04-25,bist100,713.8832397460938,Calm/Bull,0.0013467934041067,1,BUY,Calm/Bull low stress=0.00
2014-04-28,bist100,723.9811401367188,Calm/Bull,0.0007931454776612,1,BUY,Calm/Bull low stress=0.00
2014-04-29,bist100,723.1461791992188,Calm/Bull,6.8848306303931e-05,1,BUY,Calm/Bull low stress=0.00
2014-04-30,bist100,738.7111206054688,Transition,0.0020726616679462,1,BUY,Transition BUY=0.00
2014-05-02,bist100,751.5870361328125,Calm/Bull,0.0005388333395204,1,BUY,Calm/Bull low stress=0.00
2014-05-05,bist100,747.60400390625,Calm/Bull,0.0003656606215314,1,BUY,Calm/Bull low stress=0.00
2014-05-06,bist100,751.8990478515625,Calm/Bull,0.0001651538208204,1,BUY,Calm/Bull low stress=0.00
2014-05-07,bist100,749.6680297851562,Calm/Bull,0.0001357590193351,1,BUY,Calm/Bull low stress=0.00
2014-05-08,bist100,757.81298828125,Calm/Bull,0.0001172399808182,1,BUY,Calm/Bull low stress=0.00
2014-05-09,bist100,755.6259765625,Calm/Bull,1.872131438630285e-05,1,BUY,Calm/Bull low stress=0.00
2014-05-12,bist100,759.3519897460938,Calm/Bull,1.3556185739395485e-05,1,BUY,Calm/Bull low stress=0.00
2014-05-13,bist100,757.760986328125,Calm/Bull,1.069154906565208e-05,1,BUY,Calm/Bull low stress=0.00
2014-05-14,bist100,760.4739990234375,Calm/Bull,1.1099804343216225e-05,1,BUY,Calm/Bull low stress=0.00
2014-05-15,bist100,752.280029296875,Calm/Bull,1.0470758531938358e-05,1,BUY,Calm/Bull low stress=0.00
2014-05-16,bist100,750.0890502929688,Calm/Bull,3.3122697055717563e-06,1,BUY,Calm/Bull low stress=0.00
2014-05-20,bist100,752.5490112304688,Calm/Bull,1.8983983044752104e-06,1,BUY,Calm/Bull low stress=0.00
2014-05-21,bist100,764.5419921875,Calm/Bull,2.013929368079495e-05,1,BUY,Calm/Bull low stress=0.00
2014-05-22,bist100,780.4278564453125,Transition,0.0003972839099846,1,BUY,Transition BUY=0.00
2014-05-23,bist100,780.6018676757812,Calm/Bull,1.2346864790599282e-05,1,BUY,Calm/Bull low stress=0.00
2014-05-26,bist100,786.02783203125,Calm/Bull,2.9337283891384136e-05,1,BUY,Calm/Bull low stress=0.00
2014-05-27,bist100,775.327880859375,Calm/Bull,4.095472553184432e-05,1,BUY,Calm/Bull low stress=0.00
2014-05-28,bist100,779.9498291015625,Calm/Bull,3.855876461406659e-05,1,BUY,Calm/Bull low stress=0.00
2014-05-29,bist100,792.9957885742188,Calm/Bull,1.8273250726913365e-05,1,BUY,Calm/Bull low stress=0.00
2014-05-30,bist100,792.893798828125,Calm/Bull,1.3513141837187684e-06,1,BUY,Calm/Bull low stress=0.00
2014-06-02,bist100,786.4838256835938,Calm/Bull,1.6806468359704594e-06,1,BUY,Calm/Bull low stress=0.00
2014-06-03,bist100,788.1787719726562,Calm/Bull,7.304811130584511e-07,1,BUY,Calm/Bull low stress=0.00
2014-06-04,bist100,783.8428344726562,Calm/Bull,9.676834824077342e-07,1,BUY,Calm/Bull low stress=0.00
2014-06-05,bist100,798.0258178710938,Transition,6.729584272280206e-05,1,BUY,Transition BUY=0.00
2014-06-06,bist100,803.9717407226562,Calm/Bull,2.1530802352067435e-06,1,BUY,Calm/Bull low stress=0.00
2014-06-09,bist100,807.5337524414062,Calm/Bull,1.757264721246753e-06,1,BUY,Calm/Bull low stress=0.00
2014-06-10,bist100,816.7156372070312,Calm/Bull,4.344857414863394e-06,1,BUY,Calm/Bull low stress=0.00
2014-06-11,bist100,790.2017822265625,Stress/Bear,0.994060405213312,-1,REDUCE,Stress rising=0.99↑
2014-06-12,bist100,798.3388061523438,Transition,0.0054245102033514,1,BUY,Transition BUY=0.01
2014-06-13,bist100,790.11181640625,Calm/Bull,0.0001591119709354,1,BUY,Calm/Bull low stress=0.00
2014-06-16,bist100,776.452880859375,Calm/Bull,0.0011808970274756,1,BUY,Calm/Bull low stress=0.00
2014-06-17,bist100,780.15283203125,Calm/Bull,0.0018079562227478,1,BUY,Calm/Bull low stress=0.00
2014-06-18,bist100,780.9248657226562,Calm/Bull,0.0001246648120213,1,BUY,Calm/Bull low stress=0.00
2014-06-19,bist100,790.5687866210938,Calm/Bull,0.0002625719405595,1,BUY,Calm/Bull low stress=0.00
2014-06-20,bist100,784.0028686523438,Calm/Bull,0.0005252031843031,1,BUY,Calm/Bull low stress=0.00
2014-06-23,bist100,793.2608032226562,Calm/Bull,0.0003725989860385,1,BUY,Calm/Bull low stress=0.00
2014-06-24,bist100,789.8568115234375,Calm/Bull,0.0001392571110574,1,BUY,Calm/Bull low stress=0.00
2014-06-25,bist100,789.9747924804688,Calm/Bull,0.0003108522795564,1,BUY,Calm/Bull low stress=0.00
2014-06-26,bist100,781.036865234375,Calm/Bull,0.0012257745412036,1,BUY,Calm/Bull low stress=0.00
2014-06-27,bist100,784.7198486328125,Calm/Bull,0.0018887518433821,1,BUY,Calm/Bull low stress=0.00
2014-06-30,bist100,784.8858642578125,Calm/Bull,0.0002290133387871,1,BUY,Calm/Bull low stress=0.00
2014-07-01,bist100,771.06591796875,Calm/Bull,0.0019419186116277,1,BUY,Calm/Bull low stress=0.00
2014-07-02,bist100,768.3139038085938,Calm/Bull,0.0003371921487351,1,BUY,Calm/Bull low stress=0.00
2014-07-03,bist100,775.2808837890625,Calm/Bull,0.0002292212903905,1,BUY,Calm/Bull low stress=0.00
2014-07-04,bist100,775.3439331054688,Calm/Bull,0.0004167891131765,1,BUY,Calm/Bull low stress=0.00
2014-07-07,bist100,789.5067749023438,Calm/Bull,0.0166308115153247,1,BUY,Calm/Bull low stress=0.02
