Date,Equity,Position,Trade,Close,Signal,Regime,Target_Pct
2014-03-27,9990.0,1.0570075198085067,BUY,9451.2099609375,1,Calm/Bull,1.0
2014-03-28,10133.732378015837,1.0570075198085067,,9587.1904296875,1,Calm/Bull,1.0
2014-03-31,10100.668893770733,1.0570075198085067,,9555.91015625,1,Calm/Bull,1.0
2014-04-01,10151.193646770798,1.0570075198085067,,9603.7099609375,1,Calm/Bull,1.0
2014-04-02,10171.964257428597,1.0570075198085067,,9623.3603515625,1,Calm/Bull,1.0
2014-04-03,10177.735477197395,1.0570075198085067,,9628.8203125,1,Calm/Bull,1.0
2014-04-04,10248.501304861451,1.0570075198085067,,9695.76953125,1,Calm/Bull,1.0
2014-04-07,10053.039556877173,1.0570075198085067,,9510.849609375,1,Calm/Bull,1.0
2014-04-08,10031.836440212734,1.0570075198085067,,9490.7900390625,1,Calm/Bull,1.0
2014-04-09,10048.283023038035,1.0570075198085067,,9506.349609375,1,Calm/Bull,1.0
2014-04-10,9983.526397702055,0.0,SELL,9454.5400390625,0,Transition,0.0
2014-04-11,9983.526397702055,0.0,,9315.2900390625,0,Transition,0.0
2014-04-14,9983.526397702055,0.0,,9339.169921875,1,Calm/Bull,1.0
2014-04-15,9983.526397702055,0.0,,9173.7099609375,0,Transition,0.0
2014-04-16,9983.526397702055,0.0,,9317.8203125,0,Transition,0.0
2014-04-17,9973.542871304353,1.05992032833185,BUY,9409.7099609375,1,Calm/Bull,1.0
2014-04-22,10175.330379202758,1.05992032833185,,9600.08984375,0,Transition,0.0
2014-04-23,10116.081453896075,1.05992032833185,,9544.1904296875,1,Calm/Bull,1.0
2014-04-24,10110.718869801156,0.0,SELL,9548.6796875,0,Transition,0.0
2014-04-25,10110.718869801156,0.0,,9401.5498046875,1,Calm/Bull,1.0
2014-04-28,10110.718869801156,0.0,,9446.3603515625,1,Calm/Bull,1.0
2014-04-29,10100.608150931355,1.0538899791977379,BUY,9584.1201171875,1,Calm/Bull,1.0
2014-04-30,10120.74835894202,1.0538899791977379,,9603.23046875,1,Calm/Bull,1.0
2014-05-02,10070.99322500224,1.0538899791977379,,9556.01953125,1,Calm/Bull,1.0
2014-05-05,10043.044556764842,1.0538899791977379,,9529.5,1,Calm/Bull,1.0
2014-05-06,9977.735282927,1.0538899791977379,,9467.5302734375,1,Calm/Bull,1.0
2014-05-07,10034.402453097535,1.0538899791977379,,9521.2998046875,1,Calm/Bull,1.0
2014-05-08,10125.14299782012,1.0538899791977379,,9607.400390625,1,Calm/Bull,1.0
2014-05-09,10097.794347022053,1.0538899791977379,,9581.4501953125,1,Calm/Bull,1.0
2014-05-12,10225.325326399307,1.0538899791977379,,9702.4599609375,1,Calm/Bull,1.0
2014-05-13,10280.095700445172,1.0538899791977379,,9754.4296875,1,Calm/Bull,1.0
2014-05-14,10280.053503678426,1.0538899791977379,,9754.3896484375,1,Calm/Bull,1.0
2014-05-15,10176.41412779443,1.0538899791977379,,9656.0498046875,1,Calm/Bull,1.0
2014-05-16,10148.011587017165,1.0538899791977379,,9629.099609375,1,Calm/Bull,1.0
2014-05-19,10169.754021698987,0.0,SELL,9659.3896484375,0,Transition,0.0
2014-05-20,10169.754021698987,0.0,,9639.080078125,1,Calm/Bull,1.0
2014-05-21,10169.754021698987,0.0,,9697.8701171875,0,Transition,0.0
2014-05-22,10169.754021698987,0.0,,9720.91015625,0,Transition,0.0
2014-05-23,10169.754021698987,0.0,,9768.009765625,0,Transition,0.0
2014-05-26,10169.754021698987,0.0,,9892.8203125,0,Transition,0.0
2014-05-27,10169.754021698987,0.0,,9940.8203125,0,Transition,0.0
2014-05-28,10169.754021698987,0.0,,9939.169921875,0,Transition,0.0
2014-05-29,10159.584267677288,1.022204053605412,BUY,9938.900390625,1,Calm/Bull,1.0
2014-05-30,10164.050420934935,1.022204053605412,,9943.26953125,1,Calm/Bull,1.0
2014-06-02,10171.053117649819,1.022204053605412,,9950.1201171875,1,Calm/Bull,1.0
2014-06-03,10139.998678290825,1.022204053605412,,9919.740234375,1,Calm/Bull,1.0
2014-06-04,10147.082232943543,1.022204053605412,,9926.669921875,1,Calm/Bull,1.0
2014-06-05,10168.712230437217,1.022204053605412,,9947.830078125,1,Calm/Bull,1.0
2014-06-06,10208.94654135574,1.022204053605412,,9987.1904296875,1,Calm/Bull,1.0
2014-06-09,10230.862037247198,1.022204053605412,,10008.6298828125,1,Calm/Bull,1.0
2014-06-10,10251.479813148726,1.022204053605412,,10028.7998046875,1,Calm/Bull,1.0
2014-06-11,10170.73567537536,1.022204053605412,,9949.8095703125,1,Calm/Bull,1.0
2014-06-12,10159.379627217337,1.022204053605412,,9938.7001953125,1,Calm/Bull,1.0
2014-06-13,10132.976016653018,1.022204053605412,,9912.8701171875,1,Calm/Bull,1.0
2014-06-16,10103.44490091297,1.022204053605412,,9883.98046875,1,Calm/Bull,1.0
2014-06-17,10140.591636501607,1.022204053605412,,9920.3203125,1,Calm/Bull,1.0
2014-06-18,10150.823659499123,1.022204053605412,,9930.330078125,1,Calm/Bull,1.0
2014-06-19,10226.129352268541,1.022204053605412,,10004.0,1,Calm/Bull,1.0
2014-06-20,10198.78845445728,0.0,SELL,9987.240234375,-1,Stress/Bear,0.0
2014-06-23,10198.78845445728,0.0,,9920.919921875,1,Calm/Bull,1.0
2014-06-24,10198.78845445728,0.0,,9938.080078125,1,Calm/Bull,1.0
2014-06-25,10188.589666002823,1.0325139637711558,BUY,9867.75,1,Calm/Bull,1.0
2014-06-26,10123.696566705572,1.0325139637711558,,9804.900390625,1,Calm/Bull,1.0
2014-06-27,10134.300001122581,1.0325139637711558,,9815.169921875,1,Calm/Bull,1.0
2014-06-30,10152.782404399852,1.0325139637711558,,9833.0703125,1,Calm/Bull,1.0
2014-07-01,10224.376761317437,1.0325139637711558,,9902.41015625,1,Calm/Bull,1.0
2014-07-02,10233.524189715223,1.0325139637711558,,9911.26953125,1,Calm/Bull,1.0
2014-07-03,10355.52620100473,1.0325139637711558,,10029.4296875,1,Calm/Bull,1.0
2014-07-04,10334.514945167753,1.0325139637711558,,10009.080078125,1,Calm/Bull,1.0
2014-07-07,10228.155923755146,1.0325139637711558,,9906.0703125,1,Calm/Bull,1.0
2014-07-08,10090.418157662307,1.0325139637711558,,9772.669921875,1,Calm/Bull,1.0
2014-07-09,10127.103661123134,1.0325139637711558,,9808.2001953125,1,Calm/Bull,1.0
2014-07-10,9973.186481883155,1.0325139637711558,,9659.1298828125,1,Calm/Bull,1.0
2014-07-11,9980.630867229367,1.0325139637711558,,9666.33984375,1,Calm/Bull,1.0
2014-07-14,10101.094190717395,1.0325139637711558,,9783.009765625,1,Calm/Bull,1.0
2014-07-15,10035.426705947317,1.0325139637711558,,9719.41015625,1,Calm/Bull,1.0
2014-07-16,10179.833463599123,1.0325139637711558,,9859.26953125,1,Calm/Bull,1.0
2014-07-17,10071.017179950471,1.0325139637711558,,9753.8798828125,1,Calm/Bull,1.0
