Date,market,Close,Regime,Regime_Name,Stress_Score
2014-03-27,bist100,670.48046875,1,Transition,0.36380551328300825
2014-03-28,bist100,691.1693115234375,1,Transition,0.049138548179521145
2014-03-31,bist100,697.3592529296875,1,Transition,0.05923875573610655
2014-04-01,bist100,708.5701904296875,1,Transition,0.021549501480119724
2014-04-02,bist100,706.4762573242188,1,Transition,0.015848318397269693
2014-04-03,bist100,715.4442138671875,1,Transition,0.006599781375086233
2014-04-04,bist100,725.8251342773438,1,Transition,0.004075818959811138
2014-04-07,bist100,724.8871459960938,0,Calm/Bull,0.002509049051019868
2014-04-08,bist100,739.4611206054688,0,Calm/Bull,0.006725424408910936
2014-04-09,bist100,724.2821655273438,0,Calm/Bull,0.0664653315686583
2014-04-10,bist100,731.4981079101562,0,Calm/Bull,0.007077878408348108
2014-04-11,bist100,727.359130859375,0,Calm/Bull,0.0172529200924309
2014-04-14,bist100,737.7451171875,1,Transition,0.027475412605300224
2014-04-15,bist100,724.3761596679688,0,Calm/Bull,0.1960031143384732
2014-04-16,bist100,723.9901733398438,0,Calm/Bull,0.0048796620232940185
2014-04-17,bist100,735.6140747070312,0,Calm/Bull,0.021673631888571653
2014-04-18,bist100,734.756103515625,0,Calm/Bull,0.10804569952605664
2014-04-21,bist100,734.4630737304688,0,Calm/Bull,0.03817476224676637
2014-04-22,bist100,731.6961059570312,0,Calm/Bull,0.012172110197635849
2014-04-24,bist100,723.9091796875,0,Calm/Bull,0.00031353486982280344
2014-04-25,bist100,713.8832397460938,0,Calm/Bull,0.001346793404106733
2014-04-28,bist100,723.9811401367188,0,Calm/Bull,0.0007931454776612058
2014-04-29,bist100,723.1461791992188,0,Calm/Bull,6.8848306303931e-05
2014-04-30,bist100,738.7111206054688,1,Transition,0.002072661667946216
2014-05-02,bist100,751.5870361328125,0,Calm/Bull,0.0005388333395204838
2014-05-05,bist100,747.60400390625,0,Calm/Bull,0.00036566062153143956
2014-05-06,bist100,751.8990478515625,0,Calm/Bull,0.00016515382082041993
2014-05-07,bist100,749.6680297851562,0,Calm/Bull,0.00013575901933517574
2014-05-08,bist100,757.81298828125,0,Calm/Bull,0.00011723998081822625
2014-05-09,bist100,755.6259765625,0,Calm/Bull,1.872131438630285e-05
2014-05-12,bist100,759.3519897460938,0,Calm/Bull,1.3556185739395485e-05
2014-05-13,bist100,757.760986328125,0,Calm/Bull,1.0691549065652079e-05
2014-05-14,bist100,760.4739990234375,0,Calm/Bull,1.1099804343216223e-05
2014-05-15,bist100,752.280029296875,0,Calm/Bull,1.0470758531938358e-05
2014-05-16,bist100,750.0890502929688,0,Calm/Bull,3.3122697055717563e-06
2014-05-20,bist100,752.5490112304688,0,Calm/Bull,1.8983983044752104e-06
