feature,importance
volatility_60,0.4195303371275855
volatility_20,0.23541421359247863
volatility_ratio,0.1188577970569213
range_pct,0.07022166956175074
drawdown_60,0.059263968929199475
return_ma20,0.04821275983847873
volume_ratio,0.03247358726746846
log_return,0.01602566662611716
