Date,Close,Volume,High,Low,log_return,volatility_20,volatility_60,range_pct,volume_ma20,volume_ratio,return_ma5,return_ma20,volatility_ratio,market
2014-03-27,670.48046875,96303200000,681.4970092773438,670.2579956054688,-0.010126203568798089,0.016202293573743934,0.015824119323974806,0.016762626498022057,51253720000.0,1.8789504449628243,0.00540280925528596,0.004092404465748776,1.0238985969472667,bist100
2014-03-28,691.1693115234375,96966500000,693.1849975585938,673.31201171875,0.030390244750163244,0.017157737397897475,0.016169775595253236,0.02875270285950747,53511900000.0,1.8120548887256853,0.013581906606687233,0.004989298415569074,1.0610992896484144,bist100
2014-03-31,697.3592529296875,102776700000,704.64697265625,687.2100219726562,0.008915887752604728,0.015943681891190352,0.015725786156975157,0.025004258006671724,57083950000.0,1.800448287127993,0.018074305595843602,0.00653750743288284,1.0138559517495758,bist100
2014-04-01,708.5701904296875,83459900000,710.7039794921875,695.5130004882812,0.01594841786550232,0.015174001832953343,0.015820312325188393,0.021438919120622638,59122120000.0,1.4116526944568293,0.01819243353182008,0.0058523718022044065,0.9591467931258206,bist100
2014-04-02,706.4762573242188,95430000000,714.6859741210938,703.8800048828125,-0.0029595277768511437,0.015299475585358442,0.015626408434855476,0.01529558725612223,61711330000.0,1.546393506670493,0.008433763804524212,0.005377054972460196,0.9790781835211863,bist100
2014-04-03,715.4442138671875,90928100000,720.958984375,708.3610229492188,0.012614032408746116,0.015368224642413827,0.01558124068835525,0.017608586639740288,63348110000.0,1.4353719471662216,0.012981811000033053,0.0055687590581176664,0.9863286852310406,bist100
2014-04-04,725.8251342773438,70102600000,726.8319702148438,713.4249877929688,0.01440549601940767,0.014743341905883618,0.015432728703629592,0.01847136698458844,64552715000.0,1.0859744628866501,0.009784861253881937,0.007003597019742652,0.9553295589532499,bist100
2014-04-07,724.8871459960938,54912900000,728.6439819335938,720.3280029296875,-0.0012931418927302676,0.014571074747857973,0.015435118517404705,0.011472101622769102,64938965000.0,0.845607871945603,0.0077430553248149375,0.007228626130885543,0.9440209177161528,bist100
2014-04-08,739.4611206054688,69684800000,739.4650268554688,730.9819946289062,0.019905723479324892,0.014833095066938537,0.015625134491052302,0.011471911085219215,66296775000.0,1.0511039187049445,0.008534516447579452,0.007958323584387434,0.9493099131679587,bist100
2014-04-09,724.2821655273438,66403100000,739.6190185546875,724.2080078125,-0.020740657671050503,0.016143559058726668,0.015884014290772297,0.021277633877629546,66943380000.0,0.9919292990583983,0.00497829046873958,0.006768508856317475,1.0163399983910333,bist100
2014-04-10,731.4981079101562,58098300000,735.677978515625,726.7310180664062,0.00991358601632429,0.01610620544663833,0.015701086284675,0.012231009694310282,67415245000.0,0.8617976542249457,0.0044382011902552145,0.007195629050702879,1.0258019830359602,bist100
2014-04-11,727.359130859375,51103400000,728.5869750976562,720.9169921875,-0.005674288129350988,0.01626322494332356,0.015515857695036992,0.010544973706584481,67327675000.0,0.759025170555793,0.0004222443605034831,0.00696443075878356,1.048167962285812,bist100
2014-04-14,737.7451171875,58808200000,739.302978515625,723.885009765625,0.014178049543504174,0.016257548099202407,0.015599118278188863,0.020898774374512707,68479455000.0,0.8587714373603003,0.003516482647750371,0.00695248208171281,1.0422094255118368,bist100
2014-04-15,724.3761596679688,95045100000,744.4180297851562,724.3800048828125,-0.018287580267134465,0.01682396266981779,0.01579036767767141,0.027662457736776638,70168600000.0,1.3545246734294256,-0.0041221781015415,0.004977969947830302,1.065457310003487,bist100
2014-04-16,723.9901733398438,64612400000,732.7490234375,719.89697265625,-0.0005329954562822972,0.016809400575115395,0.0156813183179098,0.01775169229433339,70443725000.0,0.9172200930600987,-8.064565858785909e-05,0.0050172452823670265,1.0719379732198409,bist100
2014-04-17,735.6140747070312,58237800000,736.2639770507812,726.77001953125,0.01592780663050408,0.01685400012452686,0.015275840273250504,0.012906166216724923,70821720000.0,0.8223155269315684,0.001122198464248099,0.005986254977455583,1.1033108374430876,bist100
2014-04-18,734.756103515625,28833600000,739.1199951171875,733.218017578125,-0.0011670139961863235,0.016498690128008187,0.015110848730099276,0.00803256687603275,70145505000.0,0.41105413668345536,0.0020236532908810313,0.006453166377988423,1.0918440401791907,bist100
2014-04-21,734.4630737304688,43921600000,736.35498046875,731.343994140625,-0.0003988918652572619,0.015911376330873975,0.015114545417068056,0.006822652502696028,70577460000.0,0.6223176634579936,-0.0008917349908712556,0.007110527144384415,1.0527194759629424,bist100
2014-04-22,731.6961059570312,48033100000,737.0260009765625,731.7000122070312,-0.0037744483637643816,0.01596448274262231,0.014947197664875816,0.0072789628455997525,70820235000.0,0.6782397714438536,0.002010891389802761,0.0061539158169152,1.0680585819867088,bist100
2014-04-24,723.9091796875,57135600000,734.02099609375,723.426025390625,-0.010699329867302005,0.013361702233363597,0.014670632029635623,0.014635773382095638,69539845000.0,0.8216239193515602,-2.237549240118042e-05,0.0033272582805686894,0.9107789089367176,bist100
2014-04-25,713.8832397460938,53508700000,727.4229736328125,712.8599853515625,-0.013946522896819377,0.013589517599842045,0.014791606058984559,0.020399678085214056,67400120000.0,0.7938962126476926,-0.005997241397865871,0.0031362423141676247,0.9187317148422598,bist100
2014-04-28,723.9811401367188,57374500000,725.3460083007812,711.666015625,0.01404592331174408,0.012294004597567968,0.014723836300887782,0.0188955097272256,65420520000.0,0.8770107605381309,-0.002954653936279791,0.002319026242246667,0.8349729205306836,bist100
2014-04-29,723.1461791992188,50993400000,731.239013671875,723.1500244140625,-0.0011539565579302812,0.012215566797236059,0.0147140559227161,0.0111858286615991,62831355000.0,0.8115916010405951,-0.0031056668748143945,0.0018155340267199164,0.8301971163761325,bist100
2014-04-30,738.7111206054688,75506300000,742.4110107421875,723.7449951171875,0.021295552759762436,0.01259382577012554,0.014795258701808053,0.025268356065495264,62433675000.0,1.2093841985114604,0.001908333349890969,0.0020828907714329223,0.8512068645738863,bist100
2014-05-02,751.5870361328125,74235500000,754.3079833984375,744.8079833984375,0.017280080317471767,0.012974734560775067,0.014880753019931026,0.012639919987019655,61373950000.0,1.2095604079580995,0.007504215386845724,0.0030948711761490675,0.8719138435667153,bist100
2014-05-05,747.60400390625,58580300000,754.947998046875,744.1610107421875,-0.005313587783898033,0.01290154779525326,0.014382470074411405,0.014428744694149866,59756560000.0,0.9803158013111866,0.009230802409429993,0.0021984901665168606,0.8970328273588464,bist100
2014-05-06,751.8990478515625,54813100000,755.1270141601562,750.4229736328125,0.005728638813039892,0.012612098076170513,0.014387353057332361,0.006256212906220366,58992085000.0,0.9291602424291326,0.007567345509689155,0.0017646473061984711,0.8766100356272895,bist100
2014-05-07,749.6680297851562,60634800000,753.8870239257812,744.926025390625,-0.002971588470942809,0.012639071283298524,0.014329564872679359,0.011953288894718292,59278180000.0,1.0228856553963026,0.0072038191270866496,0.0016807249772878446,0.8820275699645341,bist100
2014-05-08,757.81298828125,69775700000,761.06298828125,753.3359985351562,0.010806156306586651,0.012100802834591863,0.014368046987660586,0.010196433507452637,59282725000.0,1.1769988643403284,0.005105939836451493,0.0012257466186509323,0.8422023428086048,bist100
2014-05-09,755.6259765625,52725300000,760.8930053710938,753.7620239257812,-0.0028901241369647264,0.011003933633687561,0.014385886187497796,0.009437184091728583,58598835000.0,0.8997670346176677,0.0010718989455641935,0.002118273295355221,0.7649117677053948,bist100
2014-05-12,759.3519897460938,54291700000,765.1959838867188,756.5570068359375,0.00491891074225417,0.010873613362326654,0.014265153299242337,0.011376775418300919,58408505000.0,0.9295170283848216,0.003118398650794634,0.001868539531651715,0.7622500182247731,bist100
2014-05-13,757.760986328125,53626800000,764.2559814453125,755.197998046875,-0.0020974100496300723,0.010771963334781906,0.014151490756731036,0.011953615403624409,58534675000.0,0.916154399080545,0.0015531888782606413,0.002047383435637761,0.7611892994141493,bist100
2014-05-14,760.4739990234375,54665500000,762.85400390625,757.9099731445312,0.0035739073453341834,0.010397933780248475,0.014109283196365867,0.006501248915896698,58327540000.0,0.9372159360741084,0.0028622880415160395,0.0015171763257292616,0.7369569123771416,bist100
2014-05-15,752.280029296875,53690000000,767.6859741210938,752.2839965820312,-0.010833287778599023,0.009765004021166888,0.013830433790937005,0.020473729115816207,56259785000.0,0.9543228791222718,-0.0014656007755210949,0.0018898909501560337,0.7060518974875418,bist100
2014-05-16,750.0890502929688,46574800000,753.2570190429688,745.7050170898438,-0.0029167008119628406,0.009810573271523607,0.01372255543849749,0.01006814050968395,55357905000.0,0.8413396424593741,-0.0014709161105207174,0.0017707056823720064,0.7149232018404428,bist100
2014-05-20,752.5490112304688,40318800000,754.3140258789062,746.5540161132812,0.0032741924993429845,0.009241015204615958,0.013720445058950308,0.010311633727266291,54461955000.0,0.7403112870259615,-0.0017998597591029545,0.0011380249758139518,0.6735215340983224,bist100
2014-05-21,764.5419921875,53486900000,764.5460205078125,752.7210083007812,0.01581082580407224,0.009782089986285778,0.01382314092755179,0.015466792312084313,55694620000.0,0.9603602646000637,0.0017817874116375077,0.00198691696582688,0.7076604396608925,bist100
2014-05-22,780.4278564453125,88286500000,783.7689819335938,764.7739868164062,0.020565351688716618,0.01060185580348712,0.01400687852718829,0.024339206962326762,57912865000.0,1.524471289755739,0.005180076280313995,0.0030351291435255735,0.7569035301411522,bist100
2014-05-23,780.6018676757812,56258400000,784.5269775390625,776.6719970703125,0.0002229441611530068,0.010503950796268379,0.013197811802993113,0.010062723129446218,58324130000.0,0.9645818977496964,0.007391322668264401,0.003234998769771443,0.7958857841787229,bist100
2014-05-26,786.02783203125,43388900000,786.9099731445312,778.3309936523438,0.006926954151958442,0.010000677318745724,0.013077278517729211,0.010914345704550608,57636795000.0,0.75279862455919,0.009360053661048657,0.004116312970734466,0.7647368911801903,bist100
2014-05-27,775.327880859375,58599800000,788.8259887695312,774.4810180664062,-0.013706189551064334,0.009977949526713784,0.013277285321656786,0.01850181201690439,57891350000.0,1.0122375795347665,0.005963977250967193,0.0041283296380222176,0.7515052425994488,bist100
2014-05-28,779.9498291015625,80615800000,789.3720092773438,772.697998046875,0.0059435839900442815,0.009715110713556642,0.01323178683397288,0.021378312563611723,59053415000.0,1.3651335828757745,0.003990528888161602,0.003723212671937228,0.7342251530694932,bist100
2014-05-29,792.9957885742188,61731500000,793.9299926757812,784.2249755859375,0.01658831491919852,0.010050579490059037,0.012894453234777102,0.012238421981147041,59590320000.0,1.0359316748089287,0.0031951215342579825,0.004610326245793668,0.7794498383965619,bist100
2014-05-30,792.893798828125,62075100000,799.9929809570312,791.3779907226562,-0.00012862149678578947,0.00929170511061406,0.012469052463042234,0.010865251118255329,58918760000.0,1.0535710527512798,0.003124808402670223,0.0035391175329662567,0.7451813309916129,bist100
2014-06-02,786.4838256835938,53016100000,798.9509887695312,785.3909912109375,-0.008117132014467423,0.009047195171476074,0.012558186776245211,0.01724129233911163,57857790000.0,0.9163174051411227,0.00011599116938504975,0.002269256916369297,0.7204220905990624,bist100
2014-06-03,788.1787719726562,58477700000,795.6929931640625,784.780029296875,0.002152774754641529,0.008870144408759209,0.01254081200023217,0.013845797749506119,57852660000.0,1.0108039976035674,0.0032877840305262224,0.002642575043296275,0.707302239168803,bist100
2014-06-04,783.8428344726562,47667700000,791.302978515625,782.177001953125,-0.005516398092323855,0.009019371798346339,0.01238031281288797,0.011642610177893196,57495390000.0,0.8290699480427909,0.000995787614052595,0.002080323198028088,0.7285253559148462,bist100
2014-06-05,798.0258178710938,73504500000,803.0900268554688,786.6290283203125,0.017932416127866783,0.009595915944409028,0.012453358609817052,0.020627150358455217,58138875000.0,1.2642917497113593,0.0012646078557862477,0.003125523427968567,0.7705484315568103,bist100
2014-06-06,803.9717407226562,61332100000,806.3699951171875,799.7069702148438,0.007423170057966822,0.00948254870461749,0.012460076074533661,0.008287635702661188,57716695000.0,1.0626405410081086,0.0027749661667367696,0.002956374115537576,0.7610345753825897,bist100
2014-06-09,807.5337524414062,62268500000,814.7210083007812,806.6719970703125,0.004420732705975393,0.009385728925087872,0.012459481839025227,0.009967399141069063,58193855000.0,1.0700184753183992,0.005282539110825333,0.003321916957684582,0.7533001007867088,bist100
2014-06-10,816.7156372070312,56978900000,816.719970703125,807.6519775390625,0.011306124087556824,0.009550154562756452,0.012488994486005553,0.011102999319411626,58328215000.0,0.9768668559461318,0.007113208977408391,0.0036412776249497144,0.764685625688906,bist100
2014-06-11,790.2017822265625,96117300000,819.1539916992188,785.9219970703125,-0.033002643613128574,0.012555123394714441,0.013368458413442374,0.04205507425618302,60452740000.0,1.5899577091129369,0.001615959873247448,0.0020960159467747893,0.9391601489435685,bist100
2014-06-12,798.3388061523438,82783700000,800.1190185546875,778.551025390625,0.01024474307231115,0.012684395581287875,0.013322553749779613,0.027016090158526965,61858650000.0,1.3382720120791514,7.84252621363217e-05,0.002429557733123638,0.9520994112332034,bist100
2014-06-13,790.11181640625,55132500000,797.2219848632812,785.9630126953125,-0.010358601259050155,0.01265869080901383,0.013239905264571973,0.014249846583967237,61930775000.0,0.8902278390670874,-0.0034779290012670735,0.002453292059101081,0.9561013131178977,bist100
2014-06-16,776.452880859375,51542100000,786.1959838867188,774.43798828125,-0.017438515895633958,0.013378910449644598,0.013492379693214448,0.015143218468653302,62179140000.0,0.8289291231753929,-0.007849778721588943,0.0017272013049175257,0.9915901237476354,bist100
2014-06-17,780.15283203125,63734200000,789.5120239257812,778.9879760742188,0.004753879687424947,0.013392000318610002,0.013469102883153847,0.013489725883788046,63349910000.0,1.0060661491073941,-0.009160227601615318,0.0018011856643216236,0.9942755976242279,bist100
2014-06-18,780.9248657226562,49708700000,785.5579833984375,777.6320190429688,0.0009891035602632252,0.012979686692602138,0.013355382656760669,0.010149458294088485,63161000000.0,0.7870157217270151,-0.0023618781669369595,0.001060099552131173,0.9718693223688092,bist100
2014-06-19,790.5687866210938,55043800000,794.31201171875,790.2069702148438,0.012273726910213983,0.01244530368339155,0.013223064103401292,0.005192516544260843,61498865000.0,0.8950376563860162,-0.0019560813993563927,0.000645518313206041,0.9411815284318493,bist100
2014-06-20,784.0028686523438,33952600000,789.27197265625,783.718017578125,-0.008339990123226077,0.012606850043641114,0.013219743121519292,0.007084100454468913,60383575000.0,0.5622820444135678,-0.0015523591721915773,0.0002173715989870869,0.9536380493747643,bist100
