Date,Adj Close,Close,High,Low,Open,Volume
2014-01-02,669.8544311523438,669.8579711914062,673.6740112304688,658.2579956054688,673.6740112304688,56227000000
2014-01-03,659.6675415039062,659.6710205078125,673.5369873046875,654.2949829101562,671.5130004882812,59791900000
2014-01-06,680.2163696289062,680.219970703125,682.989990234375,657.4229736328125,662.8150024414062,72736300000
2014-01-07,685.9823608398438,685.9860229492188,689.4949951171875,672.8400268554688,676.5159912109375,87657300000
2014-01-08,673.3134155273438,673.3170166015625,689.5919799804688,671.9920043945312,684.4559936523438,76321900000
2014-01-09,664.1324462890625,664.135986328125,667.6389770507812,660.2160034179688,667.1300048828125,41355000000
2014-01-10,679.1173706054688,679.1209716796875,679.1209716796875,664.7919921875,668.7009887695312,62698400000
2014-01-13,680.619384765625,680.6229858398438,686.9130249023438,679.4320068359375,683.89697265625,56362100000
2014-01-14,680.7213745117188,680.7249755859375,680.7249755859375,668.8519897460938,671.3770141601562,54581800000
2014-01-15,681.3424072265625,681.3460083007812,685.427001953125,675.5780029296875,680.7050170898438,70279700000
2014-01-16,668.4324340820312,668.4359741210938,676.3049926757812,667.458984375,670.7459716796875,59485900000
2014-01-17,656.3464965820312,656.3499755859375,672.1110229492188,656.3499755859375,671.6099853515625,59183900000
2014-01-20,657.6325073242188,657.635986328125,660.916015625,648.4149780273438,648.9569702148438,48168300000
2014-01-21,663.1834716796875,663.18701171875,671.8590087890625,659.97900390625,662.4769897460938,62625600000
2014-01-22,673.6693725585938,673.6729736328125,674.5070190429688,667.0819702148438,670.0759887695312,56214100000
2014-01-23,654.28955078125,654.2930297851562,673.3369750976562,654.2930297851562,669.35302734375,76298200000
2014-01-24,644.2716064453125,644.2750244140625,657.791015625,632.7160034179688,657.4769897460938,84370500000
2014-01-27,645.68359375,645.68701171875,653.5560302734375,633.802001953125,643.6019897460938,75230100000
2014-01-28,635.4336547851562,635.43701171875,655.4660034179688,634.9810180664062,653.10400390625,62444100000
2014-01-29,620.8837280273438,620.8870239257812,653.2620239257812,607.5349731445312,647.77099609375,118465500000
2014-01-30,627.0106811523438,627.0139770507812,628.1920166015625,608.9829711914062,622.10498046875,79032000000
2014-01-31,618.5786743164062,618.5819702148438,626.666015625,614.2559814453125,626.666015625,60568900000
